fdcId,foodDescription,factorIndex,nutrientConversionFactor.type,nutrientConversionFactor.proteinValue,nutrientConversionFactor.fatValue,nutrientConversionFactor.carbohydrateValue,nutrientConversionFactor.value,nutrientConversionFactor.nitrogenValue
746765,"Cheese, dry white, queso seco",1,.CalorieConversionFactor,4.27,8.79,3.87,,
746766,"Cheese, ricotta, whole milk",0,.ProteinConversionFactor,,,,6.38,
746766,"Cheese, ricotta, whole milk",1,.CalorieConversionFactor,4.27,8.79,3.87,,
746767,"Cheese, swiss",0,.ProteinConversionFactor,,,,6.38,
746767,"Cheese, swiss",1,.CalorieConversionFactor,4.27,8.79,3.87,,
746768,"Figs, dried, uncooked",0,.ProteinConversionFactor,,,,6.25,
746768,"Figs, dried, uncooked",1,.CalorieConversionFactor,3.36,8.37,3.6,,
746769,"Lettuce, cos or romaine, raw",0,.CalorieConversionFactor,2.44,8.37,3.57,,
746769,"Lettuce, cos or romaine, raw",1,.ProteinConversionFactor,,,,6.25,
746770,"Melons, cantaloupe, raw",0,.CalorieConversionFactor,3.36,8.37,3.6,,
746770,"Melons, cantaloupe, raw",1,.ProteinConversionFactor,,,,6.25,
746771,"Oranges, raw, navels",0,.CalorieConversionFactor,3.36,8.37,3.6,,
746771,"Oranges, raw, navels",1,.ProteinConversionFactor,,,,6.25,
746772,"Milk, lowfat, fluid, 1% milkfat, with added vitamin A and vitamin D",0,.ProteinConversionFactor,,,,6.38,
746772,"Milk, lowfat, fluid, 1% milkfat, with added vitamin A and vitamin D",1,.CalorieConversionFactor,4.27,8.79,3.87,,
746773,"Pears, raw, bartlett",0,.ProteinConversionFactor,,,,6.25,
746773,"Pears, raw, bartlett",1,.CalorieConversionFactor,3.36,8.37,3.6,,
746774,"Restaurant, Chinese, sweet and sour pork",0,.ProteinConversionFactor,,,,6.25,
746774,"Restaurant, Chinese, sweet and sour pork",1,.CalorieConversionFactor,4.0,9.0,4.0,,
746775,"Salt, table, iodized",0,.ProteinConversionFactor,,,,0.0,
746776,"Milk, nonfat, fluid, with added vitamin A and vitamin D (fat free or skim)",0,.ProteinConversionFactor,,,,6.38,
746776,"Milk, nonfat, fluid, with added vitamin A and vitamin D (fat free or skim)",1,.CalorieConversionFactor,4.27,8.79,3.87,,
746777,"Sauce, salsa, ready-to-serve",0,.ProteinConversionFactor,,,,6.25,
746777,"Sauce, salsa, ready-to-serve",1,.CalorieConversionFactor,2.44,8.87,3.57,,
746778,"Milk, reduced fat, fluid, 2% milkfat, with added vitamin A and vitamin D",0,.CalorieConversionFactor,4.27,8.79,3.87,,
746778,"Milk, reduced fat, fluid, 2% milkfat, with added vitamin A and vitamin D",1,.ProteinConversionFactor,,,,6.38,
746779,"Sausage, breakfast sausage, beef, pre-cooked, unprepared",0,.ProteinConversionFactor,,,,6.25,
746779,"Sausage, breakfast sausage, beef, pre-cooked, unprepared",1,.CalorieConversionFactor,4.27,9.02,3.87,,
746780,"Sausage, Italian, pork, mild, cooked, pan-fried",0,.CalorieConversionFactor,4.27,9.02,3.87,,
746780,"Sausage, Italian, pork, mild, cooked, pan-fried",1,.ProteinConversionFactor,,,,6.25,
746781,"Sausage, pork, chorizo, link or ground, cooked, pan-fried",0,.CalorieConversionFactor,4.27,9.02,3.87,,
746781,"Sausage, pork, chorizo, link or ground, cooked, pan-fried",1,.ProteinConversionFactor,,,,6.25,
746782,"Milk, whole, 3.25% milkfat, with added vitamin D",0,.ProteinConversionFactor,,,,6.38,
746782,"Milk, whole, 3.25% milkfat, with added vitamin D",1,.CalorieConversionFactor,4.27,8.79,3.87,,
746783,"Sausage, turkey, breakfast links, mild, raw",0,.CalorieConversionFactor,4.27,9.02,3.87,,
746783,"Sausage, turkey, breakfast links, mild, raw",1,.ProteinConversionFactor,,,,6.25,
746784,"Sugars, granulated",0,.CalorieConversionFactor,0.0,0.0,3.87,,
746784,"Sugars, granulated",1,.ProteinConversionFactor,,,,6.25,
746785,"Turkey, ground, 93% lean, 7% fat, pan-broiled crumbles",0,.ProteinConversionFactor,,,,6.25,
746785,"Turkey, ground, 93% lean, 7% fat, pan-broiled crumbles",1,.CalorieConversionFactor,4.27,9.02,3.87,,
746952,"Ham, sliced, restaurant",0,.CalorieConversionFactor,4.27,9.02,3.87,,
747429,"Cheese, American, restaurant",0,.ProteinConversionFactor,,,,6.38,
